Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance(parsec),Distance(meters),luminosity(watts),Luminosity(Solar)
4799.252283,5.16E-11,0.0111665,89.55357543,2.76362E+18,4.95E+27,1.29E+01
4798.560247,1.14E-12,0.0113196,88.34234425,2.72624E+18,1.06E+26,2.76E-01
4798.385634,5.39E-11,0.00848546,117.8486493,3.63681E+18,8.95E+27,2.33E+01
4795.927566,1.08E-12,0.00881362,113.4607573,3.5014E+18,1.67E+26,4.34E-01
4795.906144,1.21E-12,0.0109847,91.03571331,2.80936E+18,1.20E+26,3.12E-01
4794.304687,1.20E-12,0.0111896,89.36869951,2.75792E+18,1.15E+26,2.99E-01
4790.639492,8.89E-13,0.00997967,100.2037142,3.09229E+18,1.07E+26,2.78E-01
4785.803461,1.06E-12,0.00972388,102.8396072,3.17363E+18,1.35E+26,3.50E-01
4781.479922,1.20E-12,0.0109977,90.92810315,2.80604E+18,1.19E+26,3.10E-01
4781.120614,5.73E-13,0.0107596,92.940258,2.86814E+18,5.93E+25,1.54E-01
4775.011702,7.46E-13,0.0104674,95.53470776,2.9482E+18,8.15E+25,2.12E-01
4767.42008,5.66E-13,0.0096909,103.1895902,3.18443E+18,7.21E+25,1.88E-01
4765.563184,1.77E-11,0.011575,86.39308855,2.66609E+18,1.58E+27,4.10E+00
4764.438717,9.74E-13,0.0100812,99.19454033,3.06114E+18,1.15E+26,2.98E-01
4751.039154,6.75E-13,0.0116247,86.02372534,2.65469E+18,5.98E+25,1.56E-01
4723.657624,7.99E-13,0.0098308,101.7211214,3.13911E+18,9.90E+25,2.57E-01
4723.502524,3.96E-11,0.00854617,117.01148,3.61097E+18,6.48E+27,1.69E+01
4712.755851,8.38E-13,0.00961707,103.9817741,3.20888E+18,1.08E+26,2.82E-01
4711.785195,7.74E-13,0.00851996,117.3714431,3.62208E+18,1.28E+26,3.32E-01
4697.268704,7.84E-13,0.0102421,97.63622695,3.01305E+18,8.94E+25,2.32E-01
4696.888341,9.40E-13,0.00929869,107.5420301,3.31875E+18,1.30E+26,3.38E-01
4696.815867,9.75E-13,0.0108099,92.50779378,2.85479E+18,9.98E+25,2.60E-01
4696.147563,8.26E-13,0.0086741,115.2857357,3.55772E+18,1.31E+26,3.42E-01
4694.14564,7.03E-13,0.00928507,107.6997804,3.32362E+18,9.75E+25,2.54E-01
4693.451089,7.73E-13,0.0102874,97.20629119,2.99979E+18,8.74E+25,2.27E-01
4692.148204,9.43E-13,0.0100773,99.23292946,3.06233E+18,1.11E+26,2.89E-01
4691.112234,8.60E-13,0.00922269,108.4282351,3.3461E+18,1.21E+26,3.15E-01
4689.727468,8.56E-13,0.011723,85.302397,2.63243E+18,7.46E+25,1.94E-01
